epoch,phase,wall_time_s,epoch_time_s
211,adam,3.592305,0.017115
212,adam,3.608298,0.015993
213,adam,3.623929,0.015631
214,adam,3.639634,0.015705
215,adam,3.655251,0.015617
216,adam,3.671422,0.016171
217,adam,3.687388,0.015965
218,adam,3.703302,0.015915
219,adam,3.718733,0.015431
220,adam,3.734834,0.016101
221,adam,3.750834,0.016000
222,adam,3.766683,0.015850
223,adam,3.782756,0.016073
224,adam,3.798735,0.015979
225,adam,3.814605,0.015870
226,adam,3.830500,0.015895
227,adam,3.846874,0.016375
228,adam,3.864115,0.017241
229,adam,3.881921,0.017806
230,adam,3.898903,0.016981
231,adam,3.916052,0.017149
232,adam,3.932988,0.016936
233,adam,3.950079,0.017091
234,adam,3.967209,0.017131
235,adam,3.984175,0.016966
236,adam,4.001051,0.016876
237,adam,4.017994,0.016943
238,adam,4.035179,0.017185
239,adam,4.052305,0.017125
240,adam,4.069335,0.017030
241,adam,4.087659,0.018324
242,adam,4.106241,0.018582
243,adam,4.124186,0.017945
244,adam,4.141511,0.017325
245,adam,4.158995,0.017484
246,adam,4.176041,0.017047
247,adam,4.193793,0.017751
248,adam,4.210860,0.017067
249,adam,4.228125,0.017265
250,adam,4.254463,0.026337
251,adam,4.271793,0.017330
252,adam,4.287965,0.016172
253,adam,4.303878,0.015914
254,adam,4.320003,0.016124
255,adam,4.335835,0.015832
256,adam,4.351643,0.015808
257,adam,4.367372,0.015729
258,adam,4.383197,0.015825
259,adam,4.399175,0.015978
260,adam,4.415065,0.015891
261,adam,4.430905,0.015839
262,adam,4.446831,0.015927
263,adam,4.462769,0.015938
264,adam,4.478561,0.015791
265,adam,4.494650,0.016089
266,adam,4.510729,0.016079
267,adam,4.526288,0.015560
268,adam,4.542255,0.015967
269,adam,4.558121,0.015866
270,adam,4.573822,0.015700
271,adam,4.590158,0.016337
272,adam,4.606582,0.016423
273,adam,4.622825,0.016243
274,adam,4.638721,0.015897
275,adam,4.654408,0.015686
276,adam,4.670299,0.015892
277,adam,4.685950,0.015650
278,adam,4.701745,0.015795
279,adam,4.717458,0.015712
280,adam,4.732934,0.015477
281,adam,4.748952,0.016017
282,adam,4.765201,0.016250
283,adam,4.780869,0.015667
284,adam,4.796688,0.015819
285,adam,4.812496,0.015808
286,adam,4.828099,0.015603
287,adam,4.843953,0.015854
288,adam,4.860110,0.016157
289,adam,4.876297,0.016187
290,adam,4.891944,0.015647
291,adam,4.908137,0.016194
292,adam,4.923924,0.015787
293,adam,4.939762,0.015838
294,adam,4.955560,0.015798
295,adam,4.971107,0.015546
296,adam,4.986916,0.015809
297,adam,5.002480,0.015564
298,adam,5.018168,0.015688
299,adam,5.034045,0.015877
300,adam,5.050202,0.016157
301,adam,5.065910,0.015708
302,adam,5.081645,0.015735
303,adam,5.097475,0.015830
304,adam,5.113058,0.015582
305,adam,5.128760,0.015702
306,adam,5.144428,0.015668
307,adam,5.160047,0.015619
308,adam,5.176046,0.015999
309,adam,5.192079,0.016032
310,adam,5.208007,0.015928
311,adam,5.223876,0.015868
