epoch,phase,wall_time_s,epoch_time_s
211,adam,3.969404,0.018577
212,adam,3.987561,0.018157
213,adam,4.005239,0.017678
214,adam,4.02323,0.017992
215,adam,4.041362,0.018132
216,adam,4.059339,0.017977
217,adam,4.077294,0.017955
218,adam,4.095973,0.01868
219,adam,4.114204,0.018231
220,adam,4.132268,0.018064
221,adam,4.151835,0.019567
222,adam,4.170968,0.019133
223,adam,4.189544,0.018576
224,adam,4.208614,0.01907
225,adam,4.227388,0.018774
226,adam,4.246174,0.018786
227,adam,4.264186,0.018012
228,adam,4.282482,0.018296
229,adam,4.30034,0.017858
230,adam,4.318336,0.017996
231,adam,4.336418,0.018081
232,adam,4.354372,0.017955
233,adam,4.372874,0.018502
234,adam,4.391448,0.018574
235,adam,4.409591,0.018142
236,adam,4.427807,0.018216
237,adam,4.446683,0.018877
238,adam,4.465028,0.018345
239,adam,4.483299,0.018271
240,adam,4.502815,0.019516
241,adam,4.520947,0.018132
242,adam,4.539118,0.018171
243,adam,4.55703,0.017912
244,adam,4.575025,0.017995
245,adam,4.592906,0.01788
246,adam,4.610835,0.017929
247,adam,4.629122,0.018287
248,adam,4.647682,0.01856
249,adam,4.665695,0.018012
250,adam,4.683922,0.018227
251,adam,4.702144,0.018222
252,adam,4.720139,0.017996
253,adam,4.738255,0.018116
254,adam,4.756392,0.018137
255,adam,4.774248,0.017856
256,adam,4.792493,0.018245
257,adam,4.810929,0.018435
258,adam,4.829043,0.018115
259,adam,4.847223,0.01818
260,adam,4.86504,0.017817
261,adam,4.883101,0.01806
262,adam,4.901383,0.018282
263,adam,4.919577,0.018194
264,adam,4.937587,0.01801
265,adam,4.955462,0.017874
266,adam,4.973555,0.018093
267,adam,4.992613,0.019058
268,adam,5.011648,0.019035
269,adam,5.029461,0.017813
270,adam,5.047438,0.017977
271,adam,5.065644,0.018205
272,adam,5.083887,0.018243
273,adam,5.103704,0.019817
274,adam,5.123084,0.019381
275,adam,5.141102,0.018018
276,adam,5.159129,0.018027
277,adam,5.177434,0.018304
278,adam,5.195651,0.018217
279,adam,5.213731,0.01808
280,adam,5.231473,0.017742
281,adam,5.24961,0.018137
282,adam,5.267775,0.018165
283,adam,5.285469,0.017694
284,adam,5.303377,0.017908
285,adam,5.321553,0.018176
286,adam,5.339892,0.018338
287,adam,5.35812,0.018229
288,adam,5.376357,0.018237
289,adam,5.395898,0.019541
290,adam,5.415324,0.019426
291,adam,5.433531,0.018207
292,adam,5.451678,0.018147
293,adam,5.469444,0.017766
294,adam,5.487705,0.018261
295,adam,5.506264,0.018559
296,adam,5.524686,0.018422
297,adam,5.542904,0.018218
298,adam,5.560879,0.017975
299,adam,5.578755,0.017876
300,adam,5.596726,0.017971
301,adam,5.614863,0.018137
302,adam,5.63285,0.017987
303,adam,5.651061,0.018211
304,adam,5.669459,0.018398
305,adam,5.687539,0.01808
306,adam,5.705433,0.017894
307,adam,5.724538,0.019105
308,adam,5.743365,0.018827
309,adam,5.762283,0.018918
310,adam,5.782181,0.019898
311,adam,5.800428,0.018247
312,adam,5.818759,0.018332
313,adam,5.83692,0.018161
314,adam,5.85594,0.01902
315,adam,5.874901,0.018961
316,adam,5.894291,0.01939
317,adam,5.913124,0.018833
318,adam,5.9321,0.018975
319,adam,5.950724,0.018624
320,adam,5.968757,0.018034
321,adam,5.987368,0.01861
322,adam,6.005543,0.018175
323,adam,6.023998,0.018456
324,adam,6.042271,0.018273
325,adam,6.060503,0.018232
326,adam,6.079665,0.019162
327,adam,6.09885,0.019185
328,adam,6.118052,0.019202
329,adam,6.135932,0.01788
330,adam,6.154088,0.018156
331,adam,6.172324,0.018236
332,adam,6.190438,0.018114
333,adam,6.208819,0.01838
334,adam,6.226762,0.017943
335,adam,6.245247,0.018485
336,adam,6.263926,0.018679
337,adam,6.281698,0.017773
338,adam,6.300424,0.018726
339,adam,6.318406,0.017982
340,adam,6.336238,0.017832
341,adam,6.354286,0.018048
342,adam,6.372428,0.018142
343,adam,6.390514,0.018086
344,adam,6.408545,0.018032
345,adam,6.426625,0.01808
346,adam,6.444652,0.018026
347,adam,6.462927,0.018275
348,adam,6.481352,0.018425
349,adam,6.499583,0.018231
350,adam,6.517843,0.01826
351,adam,6.536584,0.018741
352,adam,6.554461,0.017878
353,adam,6.572732,0.01827
354,adam,6.591514,0.018782
355,adam,6.609693,0.018179
356,adam,6.627789,0.018096
357,adam,6.646194,0.018404
358,adam,6.664528,0.018334
359,adam,6.682325,0.017797
360,adam,6.700574,0.018249
361,adam,6.718495,0.017921
362,adam,6.736384,0.017889
363,adam,6.754601,0.018218
364,adam,6.772692,0.018091
365,adam,6.790833,0.01814
366,adam,6.809038,0.018206
367,adam,6.827305,0.018267
368,adam,6.845349,0.018044
369,adam,6.863621,0.018272
370,adam,6.883111,0.01949
371,adam,6.902804,0.019693
372,adam,6.921016,0.018212
373,adam,6.939131,0.018114
374,adam,6.957488,0.018358
375,adam,6.975751,0.018263
376,adam,6.994143,0.018391
377,adam,7.012273,0.01813
378,adam,7.03061,0.018338
379,adam,7.048631,0.01802
380,adam,7.066448,0.017818
381,adam,7.084567,0.018118
382,adam,7.102453,0.017887
383,adam,7.121006,0.018552
384,adam,7.138996,0.01799
385,adam,7.158407,0.019412
386,adam,7.177427,0.01902
387,adam,7.196079,0.018652
388,adam,7.214773,0.018694
389,adam,7.232801,0.018027
390,adam,7.250849,0.018048
391,adam,7.268902,0.018053
392,adam,7.287008,0.018106
393,adam,7.305319,0.018311
394,adam,7.324237,0.018918
395,adam,7.34225,0.018013
396,adam,7.36099,0.018741
397,adam,7.378925,0.017934
398,adam,7.397121,0.018197
399,adam,7.415366,0.018244
400,adam,7.43353,0.018164
401,adam,7.451687,0.018157
402,adam,7.4698,0.018113
403,adam,7.487681,0.017881
404,adam,7.505498,0.017818
405,adam,7.524795,0.019297
406,adam,7.543584,0.018789
407,adam,7.561617,0.018033
408,adam,7.5795,0.017884
409,adam,7.597402,0.017901
410,adam,7.615631,0.018229
411,adam,7.634114,0.018483
412,adam,7.652322,0.018208
413,adam,7.67074,0.018419
414,adam,7.689711,0.018971
415,adam,7.707664,0.017953
416,adam,7.7259,0.018236
417,adam,7.745026,0.019126
418,adam,7.763391,0.018365
419,adam,7.783222,0.019831
420,adam,7.802595,0.019373
421,adam,7.820722,0.018126
422,adam,7.839102,0.01838
423,adam,7.857373,0.018271
424,adam,7.875645,0.018271
425,adam,7.893743,0.018098
426,adam,7.912255,0.018512
427,adam,7.930411,0.018156
428,adam,7.948561,0.018151
429,adam,7.966889,0.018328
430,adam,7.985977,0.019088
431,adam,8.004504,0.018528
432,adam,8.023814,0.019309
433,adam,8.041803,0.01799
434,adam,8.060725,0.018922
435,adam,8.079063,0.018337
436,adam,8.097661,0.018598
437,adam,8.117519,0.019858
438,adam,8.137397,0.019878
439,adam,8.155999,0.018602
440,adam,8.174281,0.018282
441,adam,8.192716,0.018435
442,adam,8.210937,0.018221
443,adam,8.229258,0.018321
444,adam,8.247698,0.01844
445,adam,8.26697,0.019272
446,adam,8.285579,0.018608
447,adam,8.303899,0.01832
448,adam,8.322074,0.018175
449,adam,8.34037,0.018296
450,adam,8.358393,0.018024
451,adam,8.37661,0.018216
452,adam,8.395002,0.018393
453,adam,8.41355,0.018548
454,adam,8.431818,0.018268
455,adam,8.45161,0.019793
456,adam,8.469996,0.018386
457,adam,8.488882,0.018885
458,adam,8.507108,0.018226
459,adam,8.525359,0.018251
460,adam,8.543553,0.018193
461,adam,8.561796,0.018243
462,adam,8.579999,0.018204
463,adam,8.599284,0.019285
464,adam,8.61787,0.018586
465,adam,8.636488,0.018618
466,adam,8.654634,0.018145
467,adam,8.67299,0.018357
468,adam,8.691297,0.018306
469,adam,8.709683,0.018386
470,adam,8.729193,0.01951
471,adam,8.748408,0.019215
472,adam,8.766672,0.018264
473,adam,8.784779,0.018107
474,adam,8.802964,0.018185
475,adam,8.821045,0.018081
476,adam,8.839043,0.017998
477,adam,8.857278,0.018235
478,adam,8.875409,0.018131
479,adam,8.894039,0.018631
480,adam,8.912645,0.018606
481,adam,8.930626,0.017981
482,adam,8.949014,0.018388
483,adam,8.967096,0.018081
484,adam,8.985312,0.018216
485,adam,9.003909,0.018597
486,adam,9.022858,0.018949
487,adam,9.040973,0.018115
488,adam,9.059898,0.018925
489,adam,9.079371,0.019474
490,adam,9.099171,0.019799
491,adam,9.117205,0.018034
492,adam,9.135352,0.018147
493,adam,9.153703,0.018351
494,adam,9.172014,0.018311
495,adam,9.190319,0.018305
496,adam,9.208358,0.018039
497,adam,9.226867,0.01851
498,adam,9.245422,0.018554
499,adam,9.263299,0.017877
500,adam,9.282057,0.018759
501,adam,9.300045,0.017988
502,adam,9.318383,0.018338
503,adam,9.336617,0.018233
504,adam,9.354851,0.018234
505,adam,9.372866,0.018015
506,adam,9.39104,0.018174
507,adam,9.409838,0.018797
508,adam,9.428743,0.018905
509,adam,9.447225,0.018482
510,adam,9.466114,0.018889
511,adam,9.484463,0.018349
512,adam,9.502395,0.017933
513,adam,9.520239,0.017844
514,adam,9.539067,0.018827
515,adam,9.559393,0.020326
516,adam,9.578834,0.019441
517,adam,9.597134,0.0183
518,adam,9.615248,0.018114
519,adam,9.633249,0.018001
520,adam,9.651493,0.018244
521,adam,9.670191,0.018698
522,adam,9.688517,0.018326
523,adam,9.706695,0.018178
524,adam,9.7266,0.019906
525,adam,9.745723,0.019122
526,adam,9.76434,0.018618
527,adam,9.782703,0.018363
528,adam,9.801581,0.018878
529,adam,9.819349,0.017768
530,adam,9.837655,0.018306
531,adam,9.85552,0.017865
532,adam,9.874094,0.018574
533,adam,9.892178,0.018084
534,adam,9.910461,0.018283
535,adam,9.928663,0.018202
536,adam,9.946836,0.018173
537,adam,9.964902,0.018067
538,adam,9.983151,0.018248
539,adam,10.002162,0.019011
540,adam,10.020426,0.018264
541,adam,10.038764,0.018338
542,adam,10.058126,0.019362
543,adam,10.076055,0.017929
544,adam,10.095325,0.01927
545,adam,10.113546,0.018221
546,adam,10.132277,0.018731
547,adam,10.151256,0.018979
548,adam,10.170316,0.01906
549,adam,10.189178,0.018862
550,adam,10.207594,0.018416
551,adam,10.225533,0.01794
552,adam,10.244017,0.018484
553,adam,10.262691,0.018674
554,adam,10.28078,0.018089
555,adam,10.298732,0.017952
